Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
12.13819925,1.848177433,0.942160964,1.286209583,2024-06-04 16:48:55.138199
12.17794196,2.599459171,0.05455287546,0.8217126727,2024-06-04 16:48:55.177942
12.21768396,3.277731657,-0.5627479553,0.5361640453,2024-06-04 16:48:55.217684
12.25742596,2.613041162,-0.05581785366,0.8400572538,2024-06-04 16:48:55.257426
12.29716796,1.262958527,-0.2847265005,0.9808824062,2024-06-04 16:48:55.297168
12.33691096,1.149306655,-0.1626819372,0.3376898468,2024-06-04 16:48:55.336911
12.37665296,-0.08386345208,0.02076537162,0.8894594908,2024-06-04 16:48:55.376653
12.41639496,-1.471770048,0.8673325777,1.007797718,2024-06-04 16:48:55.416395
12.45613696,-1.797084093,0.6969855428,0.3018107414,2024-06-04 16:48:55.456137
12.49587896,-1.977869749,0.1714452207,-0.6510190964,2024-06-04 16:48:55.495879
12.53562096,-2.044589043,0.3841215074,-1.560133815,2024-06-04 16:48:55.535621
12.57536296,-2.120605946,0.211304903,-1.963958383,2024-06-04 16:48:55.575363
12.61510596,-2.622258425,-0.2988658249,-1.588166118,2024-06-04 16:48:55.615106
12.65484796,-2.130645275,-0.7429690361,-1.023821115,2024-06-04 16:48:55.654848
