"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.674370362E2,5.235591640E1,4.957108470E0,1.282568742E2,0.000000000E0,NaN,3.047646332E1,2.891431427E1
1.684367329E2,5.235591640E1,4.957108400E0,1.283032609E2,0.000000000E0,NaN,3.216231918E1,2.928341103E1
1.694358370E2,5.235591640E1,4.957108440E0,1.283295671E2,0.000000000E0,NaN,3.370295334E1,2.932520485E1
1.704361675E2,5.235591636E1,4.957108340E0,1.282750626E2,0.000000000E0,NaN,3.476299286E1,2.996107864E1
1.714365114E2,5.235591702E1,4.957111100E0,1.252109782E2,0.000000000E0,NaN,3.572163773E1,2.956120491E1
1.724366773E2,5.235591694E1,4.957110990E0,1.252860513E2,0.000000000E0,NaN,3.375276947E1,2.867855835E1
1.734371771E2,5.235591679E1,4.957110730E0,1.255690709E2,0.000000000E0,NaN,3.283456421E1,2.885853195E1
1.744377382E2,5.235591650E1,4.957113360E0,1.230179856E2,0.000000000E0,NaN,3.295717621E1,2.843266296E1
1.754371127E2,5.235591652E1,4.957113390E0,1.229742234E2,0.000000000E0,NaN,3.285104370E1,2.802297592E1
1.764363632E2,5.235591669E1,4.957113830E0,1.228408011E2,0.000000000E0,NaN,3.261651230E1,2.782631111E1
1.774369859E2,5.235591678E1,4.957114170E0,1.229318048E2,0.000000000E0,NaN,3.250271606E1,2.758925247E1
1.784372884E2,5.235591677E1,4.957114250E0,1.227575495E2,0.000000000E0,NaN,3.428367996E1,2.800088120E1
1.794365021E2,5.235591720E1,4.957116280E0,1.203384839E2,0.000000000E0,NaN,3.504650879E1,2.840269852E1
1.804368274E2,5.235591709E1,4.957116220E0,1.202035350E2,0.000000000E0,NaN,3.364912033E1,2.879107666E1
1.814368631E2,5.235591710E1,4.957116320E0,1.202263012E2,0.000000000E0,NaN,3.322880936E1,2.858703613E1
1.824381036E2,5.235591651E1,4.957096360E0,1.216758738E2,0.000000000E0,NaN,1.760988426E1,2.802835083E1
1.834361664E2,5.235591651E1,4.957096380E0,1.216660471E2,0.000000000E0,NaN,1.872504997E1,2.850997162E1
1.844370723E2,5.235591655E1,4.957096500E0,1.216111156E2,0.000000000E0,NaN,2.056380844E1,2.917367172E1
1.854363324E2,5.235591654E1,4.957096460E0,1.218869334E2,0.000000000E0,NaN,2.226507187E1,2.948277283E1
1.864365554E2,5.235591657E1,4.957096530E0,1.219310009E2,0.000000000E0,NaN,2.138567543E1,2.694536018E1
1.874380561E2,5.235591654E1,4.957096550E0,1.218028270E2,0.000000000E0,NaN,2.130606842E1,2.566153526E1
1.884366701E2,5.235591653E1,4.957096510E0,1.218014232E2,0.000000000E0,NaN,2.261077118E1,2.496131516E1
1.894374287E2,5.235591652E1,4.957096470E0,1.218243724E2,0.000000000E0,NaN,2.389451790E1,2.406868362E1
1.904370004E2,5.235591652E1,4.957096550E0,1.216470043E2,0.000000000E0,NaN,2.354817200E1,2.402010155E1
1.914368416E2,5.235591662E1,4.957097020E0,1.209873367E2,0.000000000E0,NaN,2.473706818E1,2.419153976E1
1.924367587E2,5.235591665E1,4.957097140E0,1.209471146E2,0.000000000E0,NaN,2.587092781E1,2.392519379E1
1.934366574E2,5.235591667E1,4.957097190E0,1.208943193E2,0.000000000E0,NaN,2.630507660E1,2.426594925E1
1.944379338E2,5.235591667E1,4.957097240E0,1.208229082E2,0.000000000E0,NaN,2.725039673E1,2.451434326E1
1.954363341E2,5.235591669E1,4.957097290E0,1.208253497E2,0.000000000E0,NaN,2.916235352E1,2.481188202E1
1.964379377E2,5.235591671E1,4.957097430E0,1.207368488E2,0.000000000E0,NaN,2.873440933E1,2.387528992E1
1.974365421E2,5.235591673E1,4.957097450E0,1.208556232E2,0.000000000E0,NaN,2.569912148E1,2.326305580E1
1.984357222E2,5.235591664E1,4.957097270E0,1.209985063E2,0.000000000E0,NaN,2.490761757E1,2.332432938E1
1.994356807E2,5.235591662E1,4.957097370E0,1.209362505E2,0.000000000E0,NaN,2.520999718E1,2.302266693E1
2.004363666E2,5.235591662E1,4.957097370E0,1.209362505E2,0.000000000E0,NaN,2.660444832E1,2.311636925E1
2.014355634E2,5.235591661E1,4.957097370E0,1.209362505E2,0.000000000E0,NaN,2.834942436E1,2.319464874E1
2.024371852E2,5.235591547E1,4.957084050E0,1.216406479E2,0.000000000E0,NaN,1.807982063E1,2.249245834E1
2.034377511E2,5.235591551E1,4.957084380E0,1.213652575E2,0.000000000E0,NaN,1.969827843E1,2.350118637E1
2.044384715E2,5.235591546E1,4.957084410E0,1.216817248E2,0.000000000E0,NaN,2.159879875E1,2.529058075E1
2.054367277E2,5.235591547E1,4.957084590E0,1.217973865E2,0.000000000E0,NaN,2.055539894E1,2.570741272E1
2.064356413E2,5.235591544E1,4.957084560E0,1.217899401E2,0.000000000E0,NaN,2.151250076E1,2.629650879E1
2.074369054E2,5.235591533E1,4.957084450E0,1.216537095E2,0.000000000E0,NaN,2.208497620E1,2.646812630E1
2.084368974E2,5.235591535E1,4.957084470E0,1.218062974E2,0.000000000E0,NaN,2.211746979E1,2.643019295E1
2.094380872E2,5.235591544E1,4.957084760E0,1.217544788E2,0.000000000E0,NaN,2.183123970E1,2.521538544E1
2.104377936E2,5.235591540E1,4.957084710E0,1.217428821E2,0.000000000E0,NaN,2.227775955E1,2.442736626E1
2.114372709E2,5.235591543E1,4.957084800E0,1.217600330E2,0.000000000E0,NaN,2.219162750E1,2.313140488E1
2.124370199E2,5.235591543E1,4.957084800E0,1.218017201E2,0.000000000E0,NaN,2.247603226E1,2.232687759E1
2.134366636E2,5.235591543E1,4.957084800E0,1.218017201E2,0.000000000E0,NaN,2.365386581E1,2.166576576E1
2.144366098E2,5.235591541E1,4.957084780E0,1.218064197E2,0.000000000E0,NaN,2.428718758E1,2.088671494E1
2.154366327E2,5.235591541E1,4.957084940E0,1.216318593E2,0.000000000E0,NaN,2.562302971E1,2.199517441E1
2.164372543E2,5.235591551E1,4.957085220E0,1.216176384E2,0.000000000E0,NaN,2.769959831E1,2.278972244E1
2.174385989E2,5.235591553E1,4.957085310E0,1.215526971E2,0.000000000E0,NaN,3.142956734E1,2.408013153E1
2.184370542E2,5.235591552E1,4.957085280E0,1.216085442E2,0.000000000E0,NaN,3.192391014E1,2.552840614E1
2.194372880E2,5.235591532E1,4.957085120E0,1.217625355E2,0.000000000E0,NaN,3.442998886E1,2.724861336E1
2.204363477E2,5.235591525E1,4.957085070E0,1.217401355E2,0.000000000E0,NaN,3.492164993E1,2.791947365E1
2.214365767E2,5.235591525E1,4.957085070E0,1.217413562E2,0.000000000E0,NaN,3.766612244E1,2.848813057E1
2.224372571E2,5.235591110E1,4.957078270E0,1.214414196E2,0.000000000E0,NaN,3.177177811E1,2.825924492E1
2.234358779E2,5.235591103E1,4.957078230E0,1.215130747E2,0.000000000E0,NaN,3.249621964E1,2.779375267E1
2.244368666E2,5.235591103E1,4.957078180E0,1.214618662E2,0.000000000E0,NaN,2.977794075E1,2.722677040E1
2.254366762E2,5.235591104E1,4.957078210E0,1.217066783E2,0.000000000E0,NaN,2.931064796E1,2.754377937E1
2.264359890E2,5.235591100E1,4.957078300E0,1.218755015E2,0.000000000E0,NaN,2.908787727E1,2.793454742E1
2.274374522E2,5.235591099E1,4.957078420E0,1.219372691E2,0.000000000E0,NaN,2.784457779E1,2.742908478E1
2.284372223E2,5.235591097E1,4.957078650E0,1.218372936E2,0.000000000E0,NaN,2.847251511E1,2.902343178E1
2.294369533E2,5.235591078E1,4.957078470E0,1.216529671E2,0.000000000E0,NaN,2.892387581E1,2.983601379E1
2.304363512E2,5.235591069E1,4.957078350E0,1.216654791E2,0.000000000E0,NaN,2.855403328E1,3.001405525E1
2.314368496E2,5.235591077E1,4.957078460E0,1.219167610E2,0.000000000E0,NaN,2.949971771E1,3.065284157E1
2.324367463E2,5.235591081E1,4.957078540E0,1.219958627E2,0.000000000E0,NaN,2.691326332E1,2.888845825E1
2.334381300E2,5.235591079E1,4.957078760E0,1.221847666E2,0.000000000E0,NaN,2.687151146E1,2.895543480E1
2.344365793E2,5.235591076E1,4.957078780E0,1.223207529E2,0.000000000E0,NaN,2.618740273E1,2.873014450E1
2.354363677E2,5.235591084E1,4.957079000E0,1.222561779E2,0.000000000E0,NaN,2.501799202E1,2.719001961E1
2.364365778E2,5.235591070E1,4.957079080E0,1.220416392E2,0.000000000E0,NaN,2.425290298E1,2.602831078E1
2.374361761E2,5.235591072E1,4.957079150E0,1.220788097E2,0.000000000E0,NaN,2.349301529E1,2.450163269E1
2.384370541E2,5.235591071E1,4.957079110E0,1.221755504E2,0.000000000E0,NaN,2.409926224E1,2.461563492E1
2.394365307E2,5.235591078E1,4.957079180E0,1.222832776E2,0.000000000E0,NaN,2.513236809E1,2.598781395E1
